id,name,primaryvalue,category,type,metric_001,has_investment,rental_income_declared,chamber
64,Anthony Albanese,2,2 investment,Labor,1697716,y,Yes,House of Representatives
65,Ash Ambihaipahar,2,"1 residential, 1 investment",Labor,1697716,y,,House of Representatives
66,Barnaby Joyce,2,2 residential,Nationals,1697716,,,House of Representatives
67,Ben Small,2,2 residential,Liberal,1697716,,,House of Representatives
68,Cameron Caldwell,2,"1 residential, 1 investment",LNP,1697716,y,Yes,House of Representatives
69,Carol Berry,2,"1 residential, 1 investment",Labor,1697716,y,yes,House of Representatives
70,Cassandra Fernando,2,2 residential,Labor,1697716,,,House of Representatives
71,Chris Bowen,2,"1 residential, 1 holiday/investment",Labor,1697716,y,,House of Representatives
72,Dan Tehan,2,"1 residential, 1 investment",Liberal,1697716,y,Yes,House of Representatives
73,David Pocock,2,"1 residential, 1 share in investment",Independent,1697716,y,No income,Senate
74,Dean Smith,2,2 residential,Liberal,1697716,,,Senate
75,Don Farrell,2,2 residential,Labor,1697716,,,Senate
76,Emma McBride,2,"1 residential, 1 investment",Labor,1697716,y,yes,House of Representatives
77,Fatima Payman,2,2 residential,Australia's Voice,1697716,,,Senate
78,Fiona Phillips,2,"1 residential, 1 rural land",Labor,1697716,,No,House of Representatives
79,Helen Haines,2,"1 residential, 1 investment",Independent,1697716,y,,House of Representatives
80,James Paterson,2,"1 residential, 1 investment",Liberal,1697716,y,Yes,Senate
81,Jamie Chaffey,2,"1 residential, 1 investment",Nationals,1697716,y,,House of Representatives
82,Jason Clare,2,"1 residential, 1 investment",Labor,1697716,y,,House of Representatives
83,Jim Chalmers,2,2 residential,Labor,1697716,,,House of Representatives
84,Josh Dolega,2,"1 residential, 1 residential for sale",Labor,1697716,,,Senate
85,Josh Wilson,2,"1 residential, 1 investment",Labor,1697716,y,yes,House of Representatives
86,Julie Collins,2,2 residential,Labor,1697716,,,House of Representatives
87,Julie-Ann Campbell,2,"1 residential, 1 investment",Labor,1697716,y,yes,House of Representatives
88,Katy Gallagher,2,"1 residential, 1 investment",Labor,1697716,y,,Senate
89,Leon Rebello,2,2 residential,LNP,1697716,,,House of Representatives
90,Libby Coker,2,2 residential,Labor,1697716,,,House of Representatives
91,Lisa Chesters,2,2 residential,Labor,1697716,,,House of Representatives
92,Malarndirri McCarthy,2,"1 residential, 1 investment, and a traditional owner claim in 6 claims",Labor,1697716,y,yes,Senate
93,Mary Aldred,2,"1 residential, 1 investment",Liberal,1697716,y,No,House of Representatives
94,Mehreen Faruqi,2,"1 residential, 1 investment",Greens,1697716,y,Yes,Senate
95,Melissa Price,2,2 residential,Liberal,1697716,,,House of Representatives
96,Michael McCormack,2,"1 residential, 1 investment",Nationals,1697716,y,,House of Representatives
97,Michelle Landry,2,2 residential,LNP,1697716,,,House of Representatives
98,Mike Freelander,2,2 residential,Labor,1697716,,,House of Representatives
99,Nita Green,2,"1 residential, 1 investment",Labor,1697716,y,No,Senate
100,Pat Conroy,2,2 residential,Labor,1697716,,,House of Representatives
101,Pauline Hanson,2,2 personal (residential?),One Nation,1697716,,,Senate
102,Penny Allman-Payne,2,"1 residential, 1 investment",Greens,1697716,y,No,Senate
103,Peter Khalil,2,2 investment,Labor,1697716,y,yes,House of Representatives
104,Phil Thompson,2,2 residential,LNP,1697716,,,House of Representatives
105,Rebekha Sharkie,2,"1 residential, 1 investment",Centre Alliance,1697716,y,,House of Representatives
106,Renee Coffey,2,"1 residential, 1 investment",Labor,1697716,y,Yes,House of Representatives
107,Richard Colbeck,2,"1 residential, 1 investment",Liberal,1697716,y,Yes,Senate
108,Rob Mitchell,2,"1 residential, 1 holiday home",Labor,1697716,,,House of Representatives
109,Ross Cadell,2,"1 residential, 1 work accommodation",Nationals,1697716,,,Senate
110,Sally Sitou,2,"1 residential, 1 investment",Labor,1697716,y,Yes,House of Representatives
111,Sam Lim,2,"1 residential, 1 family home (Malaysia)",Labor,1697716,,,House of Representatives
112,Sharon Claydon,2,2 residential,Labor,1697716,,,House of Representatives
113,Shayne Neumann,2,2 investment,Labor,1697716,y,Yes,House of Representatives
114,Slade Brockman,2,2 residential,Liberal,1697716,,,Senate
115,Steph Hodgins-May,2,"1 residential, 1 farm joint held with sibling",Greens,1697716,,Yes,Senate
116,Susan McDonald,2,2 residential,LNP,1697716,,,Senate
117,Tim Ayres,2,"1 investment/holiday, 1 residential",Labor,1697716,y,yes,Senate
118,Tim Watts,2,"1 residential, 1 investment",Labor,1697716,y,No,House of Representatives
119,Tim Wilson,2,"1 residential, 1 investment",Liberal,1697716,y,,House of Representatives
120,Tom Venning,2,2 residential properties,Liberal,1697716,,,House of Representatives
121,Tyron Whitten,2,2 investment,One Nation,1697716,y,No,Senate
122,Varun Ghosh,2,"1 residential, 1 investment",Labor,1697716,y,Yes,Senate
123,Zali Steggall,2,"1 residential, 1 investment",Independent,1697716,y,Yes,House of Representatives
124,Claire Clutterham,1,1 investment,Labor,848858,y,,House of Representatives
125,Gordon Reid,1,1 investment,Labor,848858,y,yes,House of Representatives
126,Jerome Laxale,1,1 investment,Labor,848858,y,Yes,House of Representatives
127,Rowan Holzberger,1,1 investment,Labor,848858,y,,House of Representatives
128,Sam Rae,1,1 investment,Labor,848858,y,,House of Representatives
129,Simon Kennedy,1,1 investment,Liberal,848858,y,,House of Representatives
