id,name,primaryvalue,category,type,metric_001,has_investment,rental_income_declared,chamber
60,Anika Wells,2,"1 residential, 1 rental property",,,y,yes,House of Representatives
61,Anne Stanley,2,"1 residential, 1 investment",,,y,,House of Representatives
62,Anne Urquhart,2,"1 residential,1 ""block of land""",,,,,House of Representatives
63,Anne Webster,2,2 residential,,,,,House of Representatives
64,Anthony Albanese,2,2 investment,,,y,Yes,House of Representatives
65,Ash Ambihaipahar,2,"1 residential, 1 investment",,,y,,House of Representatives
66,Barnaby Joyce,2,2 residential,,,,,House of Representatives
67,Ben Small,2,2 residential,,,,,House of Representatives
68,Cameron Caldwell,2,"1 residential, 1 investment",,,y,Yes,House of Representatives
69,Carol Berry,2,"1 residential, 1 investment",,,y,yes,House of Representatives
70,Cassandra Fernando,2,2 residential,,,,,House of Representatives
71,Chris Bowen,2,"1 residential, 1 holiday/investment",,,y,,House of Representatives
72,Dan Tehan,2,"1 residential, 1 investment",,,y,Yes,House of Representatives
73,David Pocock,2,"1 residential, 1 share in investment",,,y,No income,Senate
74,Dean Smith,2,2 residential,,,,,Senate
75,Don Farrell,2,2 residential,,,,,Senate
76,Emma McBride,2,"1 residential, 1 investment",,,y,yes,House of Representatives
77,Fatima Payman,2,2 residential,,,,,Senate
78,Fiona Phillips,2,"1 residential, 1 rural land",,,,No,House of Representatives
79,Helen Haines,2,"1 residential, 1 investment",,,y,,House of Representatives
80,James Paterson,2,"1 residential, 1 investment",,,y,Yes,Senate
81,Jamie Chaffey,2,"1 residential, 1 investment",,,y,,House of Representatives
82,Jason Clare,2,"1 residential, 1 investment",,,y,,House of Representatives
83,Jim Chalmers,2,2 residential,,,,,House of Representatives
84,Josh Dolega,2,"1 residential, 1 residential for sale",,,,,Senate
85,Josh Wilson,2,"1 residential, 1 investment",,,y,yes,House of Representatives
86,Julie Collins,2,2 residential,,,,,House of Representatives
87,Julie-Ann Campbell,2,"1 residential, 1 investment",,,y,yes,House of Representatives
88,Katy Gallagher,2,"1 residential, 1 investment",,,y,,Senate
89,Leon Rebello,2,2 residential,,,,,House of Representatives
90,Libby Coker,2,2 residential,,,,,House of Representatives
91,Lisa Chesters,2,2 residential,,,,,House of Representatives
92,Malarndirri McCarthy,2,"1 residential, 1 investment, and a traditional owner claim in 6 claims",,,y,yes,Senate
93,Mary Aldred,2,"1 residential, 1 investment",,,y,No,House of Representatives
94,Mehreen Faruqi,2,"1 residential, 1 investment",,,y,Yes,Senate
95,Melissa Price,2,2 residential,,,,,House of Representatives
96,Michael McCormack,2,"1 residential, 1 investment",,,y,,House of Representatives
97,Michelle Landry,2,2 residential,,,,,House of Representatives
98,Mike Freelander,2,2 residential,,,,,House of Representatives
99,Nita Green,2,"1 residential, 1 investment",,,y,No,Senate
100,Pat Conroy,2,2 residential,,,,,House of Representatives
101,Pauline Hanson,2,2 personal (residential?),,,,,Senate
102,Penny Allman-Payne,2,"1 residential, 1 investment",,,y,No,Senate
103,Peter Khalil,2,2 investment,,,y,yes,House of Representatives
104,Phil Thompson,2,2 residential,,,,,House of Representatives
105,Rebekha Sharkie,2,"1 residential, 1 investment",,,y,,House of Representatives
106,Renee Coffey,2,"1 residential, 1 investment",,,y,Yes,House of Representatives
107,Richard Colbeck,2,"1 residential, 1 investment",,,y,Yes,Senate
108,Rob Mitchell,2,"1 residential, 1 holiday home",,,,,House of Representatives
109,Ross Cadell,2,"1 residential, 1 work accommodation",,,,,Senate
110,Sally Sitou,2,"1 residential, 1 investment",,,y,Yes,House of Representatives
111,Sam Lim,2,"1 residential, 1 family home (Malaysia)",,,,,House of Representatives
112,Sharon Claydon,2,2 residential,,,,,House of Representatives
113,Shayne Neumann,2,2 investment,,,y,Yes,House of Representatives
114,Slade Brockman,2,2 residential,,,,,Senate
115,Steph Hodgins-May,2,"1 residential, 1 farm joint held with sibling",,,,Yes,Senate
116,Susan McDonald,2,2 residential,,,,,Senate
117,Tim Ayres,2,"1 investment/holiday, 1 residential",,,y,yes,Senate
118,Tim Watts,2,"1 residential, 1 investment",,,y,No,House of Representatives
119,Tim Wilson,2,"1 residential, 1 investment",,,y,,House of Representatives
120,Tom Venning,2,2 residential properties,,,,,House of Representatives
121,Tyron Whitten,2,2 investment,,,y,No,Senate
122,Varun Ghosh,2,"1 residential, 1 investment",,,y,Yes,Senate
123,Zali Steggall,2,"1 residential, 1 investment",,,y,Yes,House of Representatives
124,Claire Clutterham,1,1 investment,,,y,,House of Representatives
125,Gordon Reid,1,1 investment,,,y,yes,House of Representatives
126,Jerome Laxale,1,1 investment,,,y,Yes,House of Representatives
127,Rowan Holzberger,1,1 investment,,,y,,House of Representatives
128,Sam Rae,1,1 investment,,,y,,House of Representatives
129,Simon Kennedy,1,1 investment,,,y,,House of Representatives
